Date,Category,Description,Amount,Type
2024-03-01,Food,Grocery,50.75,Expense
2024-03-02,Rent,Monthly Rent,1200.0,Expense
2024-03-03,Utilities,Electricity Bill,60.0,Expense
2024-03-04,Food,Dinner,30.0,Expense
2024-03-05,Transport,Bus Ticket,2.75,Expense
2024-03-06,Food,Breakfast,15.0,Expense
2024-03-07,Income,Salary,2000.0,Income
2024-03-08,Income,Freelance Work,500.0,Income
2024-03-09,Utilities,Water Bill,40.0,Expense
2024-03-10,Food,Lunch,25.0,Expense
2024-03-11,Transport,Taxi,25.0,Expense
2024-03-12,Income,Investment Return,200.0,Income
2024-03-13,Food,Groceries,80.0,Expense
2024-03-14,Rent,Monthly Rent,1200.0,Expense
2024-03-15,Food,Snacks,10.5,Expense
2024-03-16,Utilities,Internet Bill,45.0,Expense
2024-03-17,Transport,Train Ticket,5.5,Expense
2024-03-18,Food,Coffee,4.25,Expense
2024-03-19,Income,Bonus,300.0,Income
2024-03-20,Food,Dinner Out,70.0,Expense
2024-03-21,Income,Part-time Job,400.0,Income
2024-03-22,Utilities,Garbabe Collection,30.0,Expense
2024-03-23,Food,Takeout,40.0,Expense
2024-03-24,Transport,Car Fuel,50.0,Expense
2024-03-25,Income,Selling Old Items,150.0,Income
2024-03-26,Food,Meal Prep,60.0,Expense
2024-03-27,Rent,Security Deposit,1200.0,Expense
2024-03-28,Utilities,Gas Bill,55.0,Expense
2024-03-29,Food,Bakery,20.0,Expense
2024-03-30,Income,Dividends,100.0,Income
2024-03-31,Transport,Ride Share,15.0,Expense
2024-04-01,Food,Fast Food,12.0,Expense
2024-04-02,Rent,Studio Rent,1200.0,Expense
2024-04-03,Utilities,Cable Bill,70.0,Expense
2024-04-04,Food,Lunch Out,20.0,Expense
2024-04-05,Transport,Parking Fee,8.0,Expense
2024-04-06,Income,Salary,2100.0,Income
2024-04-07,Income,Side Hustle,600.0,Income
2024-04-08,Utilities,Heating Bill,50.0,Expense
2024-04-09,Food,Catering,150.0,Expense
2024-04-10,Transport,Metro Pass,40.0,Expense
2024-04-11,Income,Gift Money,250.0,Income
2024-04-12,Food,Picnic,35.0,Expense
2024-04-13,Rent,Utilities Fee,1200.0,Expense
2024-04-14,Utilities,Phone Bill,60.0,Expense
2024-04-15,Food,Desserts,25.0,Expense
2024-04-16,Income,Affiliate Marketing,300.0,Income
2024-04-17,Transport,Bike Maintenance,20.0,Expense
2024-04-18,Food,Ice Cream,10.0,Expense
2024-04-19,Income,Art Commission,500.0,Income
2024-04-20,Utilities,Security System,45.0,Expense
2024-04-21,Food,Breakfast Out,18.0,Expense
2024-04-22,Transport,Gasoline,30.0,Expense
2024-04-23,Income,Web Development,700.0,Income
2024-04-24,Food,Lunch With Friends,50.0,Expense
2024-04-25,Utilities,Pool Maintenance,80.0,Expense
2024-04-26,Transport,Airport Shuttle,45.0,Expense
2024-04-27,Food,Food Delivery,40.0,Expense
2024-04-28,Income,Investment Dividend,220.0,Income
2024-04-29,Food,Food Truck,30.0,Expense
2024-04-30,Utilities,Water Heater Repair,150.0,Expense
2024-05-01,Transport,Car Wash,15.0,Expense
2024-05-02,Food,Chocolate,5.0,Expense
2024-05-03,Income,Photography Session,350.0,Income
2024-05-04,Utilities,Sewer Bill,65.0,Expense
2024-05-05,Food,Brunch,35.0,Expense
2024-05-06,Income,Website Subscription,100.0,Income
2024-05-07,Transport,Bike Rental,20.0,Expense
2024-05-08,Utilities,Lawn Care,100.0,Expense
2024-05-09,Income,Affiliate Earnings,300.0,Income
2024-05-10,Food,Barbecue,55.0,Expense
2024-05-11,Transport,Long-Distance Train,90.0,Expense
2024-05-12,Income,Creative Writing,250.0,Income
2024-05-13,Food,Grocery Shopping,70.0,Expense
2024-05-14,Utilities,Trash Collection,40.0,Expense
2024-05-15,Transport,Ride Sharing,10.0,Expense
2024-05-16,Food,Smoothies,15.0,Expense
2024-05-17,Income,Consulting,450.0,Income
2024-05-18,Utilities,Gardening Supplies,25.0,Expense
2024-05-19,Food,Takeaway,30.0,Expense
2024-05-20,Transport,Bus Monthly Pass,50.0,Expense
2024-05-21,Income,Online Course Sales,200.0,Income
2024-05-22,Food,Cooking Class,75.0,Expense
2024-05-23,Utilities,Home Insurance,120.0,Expense
2024-05-24,Transport,Flight Ticket,250.0,Expense
2024-05-25,Food,Ice Cream Truck,18.0,Expense
2024-05-26,Income,Freelance Design,600.0,Income
2024-05-27,Utilities,Water Bill,50.0,Expense
2024-05-28,Food,Lunch Meeting,45.0,Expense
2024-05-29,Transport,Rental Car,85.0,Expense
2024-05-30,Income,Book Sales,300.0,Income
2024-05-31,Food,Home Cooked Meal,40.0,Expense
2024-06-01,Utilities,Electricity Bill,60.0,Expense
2024-06-02,Transport,Train Fare,15.0,Expense
2024-06-03,Food,Picnic Lunch,35.0,Expense
2024-06-04,Income,Pet Sitting,250.0,Income
2024-06-05,Utilities,Gas Bill,45.0,Expense
2024-06-06,Transport,Bike Repair,30.0,Expense
2024-06-07,Food,Sandwiches,12.0,Expense
2024-06-08,Income,App Development,800.0,Income
2024-06-09,Utilities,Internet Bill,70.0,Expense
2024-06-10,Transport,Taxi,20.0,Expense
2024-06-11,Food,Fast Casual,28.0,Expense
2024-06-12,Income,Stock Dividends,400.0,Income
2024-06-13,Utilities,Household Supplies,55.0,Expense
2024-06-14,Transport,Metro Fare,25.0,Expense
2024-06-15,Food,Seafood Dinner,90.0,Expense
2024-06-16,Income,Social Media Management,600.0,Income
2024-06-17,Utilities,Gym Membership,50.0,Expense
2024-06-18,Transport,Gasoline,40.0,Expense
2024-06-19,Food,Brunch with Friends,45.0,Expense
2024-06-20,Income,Online Tutoring,300.0,Income
2024-06-21,Utilities,Landscaping,150.0,Expense
2024-06-22,Transport,Car Maintenance,200.0,Expense
2024-06-23,Food,Desserts,25.0,Expense
2024-06-24,Income,Creative Services,400.0,Income
2024-06-25,Utilities,Sewer Bill,65.0,Expense
2024-06-26,Transport,Airline Tickets,500.0,Expense
2024-06-27,Food,Food Subscription,60.0,Expense
2024-06-28,Income,Web Design,700.0,Income
2024-06-29,Utilities,Water Filter,50.0,Expense
2024-06-30,Transport,Long Distance Fare,90.0,Expense
2024-07-01,Food,Cooking Supplies,35.0,Expense
2024-07-02,Income,Digital Products,300.0,Income
2024-07-03,Utilities,Office Supplies,40.0,Expense
2024-07-04,Transport,Toll Fees,15.0,Expense
2024-07-05,Food,Party Snacks,70.0,Expense
2024-07-06,Income,Podcast Sponsorship,500.0,Income
2024-07-07,Utilities,Phone Plan,60.0,Expense
2024-07-08,Transport,Bus Fare,12.0,Expense
2024-07-09,Food,Brunch Buffet,55.0,Expense
2024-07-10,Income,Online Courses,350.0,Income
2024-07-11,Utilities,Home Cleaning,75.0,Expense
2024-07-12,Transport,Electric Scooter Rental,10.0,Expense
2024-07-13,Food,Dinner with Family,80.0,Expense
2024-07-14,Income,SEO Consulting,700.0,Income
2024-07-15,Utilities,Heating Maintenance,120.0,Expense
2024-07-16,Transport,Parking Fees,20.0,Expense
2024-07-17,Food,Ice Cream,5.0,Expense
2024-07-18,Income,Music Lessons,250.0,Income
2024-07-19,Utilities,Internet Upgrade,100.0,Expense
2024-07-20,Transport,Taxi Fare,30.0,Expense
2024-07-21,Food,Takeout Dinner,60.0,Expense
2024-07-22,Income,Freelance Editing,400.0,Income
2024-07-23,Utilities,Water Supply,50.0,Expense
2024-07-24,Transport,Long Distance Taxi,70.0,Expense
2024-07-25,Food,Lunch with Colleagues,40.0,Expense
2024-07-26,Income,Affiliate Marketing,350.0,Income
2024-07-27,Utilities,Security Alarm,80.0,Expense
2024-07-28,Transport,Bus Pass,45.0,Expense
2024-07-29,Food,Gourmet Meal,100.0,Expense
2024-07-30,Income,Virtual Assistant,600.0,Income
2024-07-31,Utilities,Car Insurance,120.0,Expense
2024-08-01,Food,Snack Bar,10.0,Expense
2024-08-02,Income,Online Workshops,250.0,Income
2024-08-03,Utilities,Electricity Charge,55.0,Expense
2024-08-04,Transport,Subway Ticket,3.5,Expense
2024-08-05,Food,Homemade Meal,35.0,Expense
2024-08-06,Income,Voice Acting,450.0,Income
2024-08-07,Utilities,Monthly Rent,1200.0,Expense
2024-08-08,Transport,Ride Share,15.0,Expense
2024-08-09,Food,Dessert Shop,25.0,Expense
2024-08-10,Income,Graphic Design,700.0,Income
2024-08-11,Utilities,Water Service,50.0,Expense
2024-08-12,Transport,Taxi Service,40.0,Expense
2024-08-13,Food,Family Dinner,90.0,Expense
2024-08-14,Income,Influencer Partnerships,500.0,Income
2024-08-15,Utilities,Home Repairs,200.0,Expense
2024-08-16,Transport,Parking Fees,20.0,Expense
2024-08-17,Food,Healthy Snacks,15.0,Expense
2024-08-18,Income,Book Publishing,400.0,Income
2024-08-19,Utilities,Utility Bill,75.0,Expense
2024-08-20,Transport,Bike Rental,25.0,Expense
2024-08-21,Food,Brunch Gathering,55.0,Expense
2024-08-22,Income,Custom Orders,600.0,Income
2024-08-23,Utilities,Cleaning Supplies,35.0,Expense
2024-08-24,Transport,Toll Road Fees,10.0,Expense
2024-08-25,Food,Food Cart,20.0,Expense
2024-08-26,Income,Webinar Hosting,350.0,Income
2024-08-27,Utilities,Water Maintenance,60.0,Expense
2024-08-28,Transport,Long Distance Travel,100.0,Expense
2024-08-29,Food,Catering Event,80.0,Expense
2024-08-30,Income,Product Sales,500.0,Income
2024-08-31,Utilities,Gym Fee,50.0,Expense
2024-09-01,Food,Vegetarian Meal,40.0,Expense
2024-09-02,Income,Market Research,300.0,Income
2024-09-03,Utilities,Household Repairs,150.0,Expense
2024-09-04,Transport,Ride Service,25.0,Expense
2024-09-05,Food,Outdoor Picnic,35.0,Expense
2024-09-06,Income,Freelance Writing,400.0,Income
2024-09-07,Utilities,Electricity Upgrade,90.0,Expense
2024-09-08,Transport,Bus Ride,5.0,Expense
2024-09-09,Food,Salad Bar,20.0,Expense
2024-09-10,Income,Subscription Services,200.0,Income
2024-09-11,Utilities,Internet Subscription,70.0,Expense
2024-09-12,Transport,Parking Meter,15.0,Expense
2024-09-13,Food,Coffee Shop,10.0,Expense
2024-09-14,Income,Graphic Projects,600.0,Income
2024-09-15,Utilities,Trash Service,30.0,Expense
2024-09-16,Transport,Trolley Fare,3.0,Expense
2024-09-17,Food,Dine Out,85.0,Expense
2024-09-18,Income,Website Development,500.0,Income
2024-09-19,Utilities,Gardening,40.0,Expense
2024-09-20,Transport,Train Service,50.0,Expense
2024-09-21,Food,Italian Dinner,60.0,Expense
2024-09-22,Income,Custom Art,300.0,Income
2024-09-23,Utilities,Air Conditioning Repair,120.0,Expense
2024-09-24,Transport,Long Trip Fare,100.0,Expense
2024-09-25,Food,Breakfast Meeting,30.0,Expense
2024-09-26,Income,Photography Sales,450.0,Income
2024-09-27,Utilities,Roof Repairs,250.0,Expense
2024-09-28,Transport,Gas Costs,70.0,Expense
2024-09-29,Food,Weekly Groceries,90.0,Expense
2024-09-30,Income,Tech Support,500.0,Income
2024-10-01,Food,Home Cooking,40.0,Expense
2024-10-02,Income,Travel Blog,300.0,Income
2024-10-03,Utilities,Electricity Bill,60.0,Expense
2024-10-04,Transport,Taxi Fare,25.0,Expense
2024-10-05,Food,Food Court,50.0,Expense
2024-10-06,Income,Online Sales,450.0,Income
2024-10-07,Utilities,Household Items,30.0,Expense
2024-10-08,Transport,Monthly Pass,80.0,Expense
